service_id,date,exception_type
10,20230423,1
2,20230424,1
21,20230424,1
402,20230424,1
1002,20230424,1
1521,20230424,1
20,20230430,1
2,20230501,1
21,20230501,1
402,20230501,1
1002,20230501,1
1521,20230501,1
20,20230507,1
2,20230508,1
21,20230508,1
402,20230508,1
1002,20230508,1
1521,20230508,1
20,20230514,1
2,20230515,1
21,20230515,1
402,20230515,1
1002,20230515,1
1521,20230515,1
20,20230521,1
2,20230522,1
21,20230522,1
402,20230522,1
1002,20230522,1
1521,20230522,1
20,20230528,1
4,20230529,1
20,20230529,1
20,20230604,1
2,20230605,1
21,20230605,1
402,20230605,1
1002,20230605,1
1521,20230605,1
20,20230611,1
